NC,CMMF Code,Commercial,ItemName,Brand,Type,Go Price(판매가),PRICE,네이버쇼핑 최저가,쿠팡 최저가
80,3201010651,730356049,WMF 냄비 퀄리티 플러스 3pcs 세트(New),WMF,Pot,"173,000","39,318",,
81,3201010514,730036043,WMF 냄비 디아뎀플러스 3pcs 세트(16H 20H 24H)(New),WMF,Pot,"170,000","38,636",,
82,3201111824,740226033,WMF 냄비 아이코닉 높은 양수 22cm,WMF,Pot,"169,000","38,409",,
83,3201010638,795386030,WMF 냄비 곰솥 28cm(New),WMF,Pot,"166,100","37,750",,
84,3201111822,739246033,WMF 냄비 아이코닉 낮은 양수 24cm,WMF,Pot,"159,000","36,136",,
85,2100118256,H9134644,테팔 팬&냄비 인덕션 PTFE 2X 제이미올리버 퀵앤이지 HA S,JAMIE OLIVER,Pot,"151,900","34,523",,
86,3201111821,739226033,WMF 냄비 아이코닉 낮은 양수 22cm,WMF,Pot,"149,000","33,864",,
87,2100116663,G2554422,테팔 팬&냄비 PTFE G6 IH 언리미티드 양수냄비20,TEFAL,Pot,"141,900","32,250",,
88,3201111823,740186033,WMF 냄비 아이코닉 높은 양수 18cm,WMF,Pot,"139,000","31,591",,
89,3201112378,522395290,WMF 압력솥 퓨전테크 퍼펙트 프리미엄 3.0L 로즈쿼츠,WMF,Pressure Cooker,"287,000","65,227",,
90,3201112377,522245290,WMF 압력솥 퓨전테크 퍼펙트 프리미엄 3.0L 블랙,WMF,Pressure Cooker,"287,000","65,227",,
